subject,roi,cluster_id,hits,hit_rate,birth,death,persistence,maxdist_full,shift_added,robust,B,subsample_frac,persist_floor_frac,top_L,cluster_tol_frac,min_hits,strict_tag
2,LO2,14,1,0.005,12.200421333312988,16.110414505004883,3.9099931716918945,36.65293287585838,19.22662389378412,False,200,0.8,0.05,10,0.02,10,STRICT2
2,LO2,17,1,0.005,15.314798355102539,18.70919418334961,3.3943958282470703,36.65293287585838,19.22662389378412,False,200,0.8,0.05,10,0.02,10,STRICT2
2,MT,1,176,0.88,3.7080176856098435,9.188430793171,5.480413107561156,18.84400986235006,11.348162890480591,True,200,0.8,0.05,10,0.02,10,STRICT2
2,MT,2,129,0.645,4.395790694963814,9.253563984785929,4.8577732898221155,18.84400986235006,11.348162890480591,True,200,0.8,0.05,10,0.02,10,STRICT2
2,MT,0,123,0.615,2.4281069046229273,8.874453435489787,6.44634653086686,18.84400986235006,11.348162890480591,True,200,0.8,0.05,10,0.02,10,STRICT2
2,MT,6,95,0.475,1.8603501319885254,8.763816351639598,6.903466219651071,18.84400986235006,11.348162890480591,True,200,0.8,0.05,10,0.02,10,STRICT2
2,MT,7,80,0.4,1.0564723014831543,8.616423666477203,7.559951364994049,18.84400986235006,11.348162890480591,True,200,0.8,0.05,10,0.02,10,STRICT2
2,MT,3,66,0.33,3.6775672316551207,8.73860000371933,5.061032772064209,18.84400986235006,11.348162890480591,True,200,0.8,0.05,10,0.02,10,STRICT2
2,MT,4,49,0.245,5.074487917262353,9.421708516548016,4.347220599285664,18.84400986235006,11.348162890480591,True,200,0.8,0.05,10,0.02,10,STRICT2
2,MT,5,16,0.08,5.452134526294211,9.561380158299984,4.109245632005774,18.84400986235006,11.348162890480591,True,200,0.8,0.05,10,0.02,10,STRICT2
2,MT,8,7,0.035,6.020400941371918,9.744738578796387,3.724337637424469,18.84400986235006,11.348162890480591,False,200,0.8,0.05,10,0.02,10,STRICT2
