subject,roi,n_nodes,strict_version,shift_added,maxdist_thresh,H1_n,H1_max_persistence,H1_median_persistence,H2_n,H2_max_persistence,H2_median_persistence,out_dir
1,LO2,609,STRICT2,13.042715043829514,,8397,4.711031436920166,0.5992879867553711,19576,1.5573139190673828,0.1310710906982422,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj01\ROI-LO2
1,MT,609,STRICT2,12.183359504746033,,17944,7.49272894859314,0.9793386459350586,85468,1.4621696472167969,0.16248035430908203,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj01\ROI-MT
1,PH,609,STRICT2,10.29743778805597,,12701,6.657352924346924,0.7316513061523438,58701,1.2962532043457031,0.14594745635986328,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj01\ROI-PH
1,PIT,609,STRICT2,14.05800385873182,,9698,6.539852619171143,0.7987151145935059,35945,1.6206598281860352,0.15067768096923828,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj01\ROI-PIT
1,STSva,609,STRICT2,4.448569179581238,,7887,2.4529436230659485,0.2752726078033447,29326,0.8075895309448242,0.07774162292480469,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj01\ROI-STSva
1,V1,609,STRICT2,8.910184175776077,,7303,3.415675640106201,0.38000965118408203,29841,0.8971538543701172,0.08941268920898438,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj01\ROI-V1
1,V2,609,STRICT2,7.747732878731323,,5510,3.7039718627929688,0.33750319480895996,20579,0.8398022651672363,0.08796119689941406,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj01\ROI-V2
1,V3,609,STRICT2,10.593066335724426,,4374,5.300462007522583,0.44014596939086914,8557,1.126068115234375,0.1013784408569336,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj01\ROI-V3
1,V4,609,STRICT2,12.55044174294336,,7882,6.40483832359314,0.6807479858398438,30309,1.353872299194336,0.1496753692626953,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj01\ROI-V4
2,LO2,609,STRICT2,19.22662389378412,,1639,13.296749114990234,0.5839920043945312,4305,1.3985977172851562,0.14614295959472656,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj02\ROI-LO2
2,MT,609,STRICT2,11.348162890480591,,9685,7.5270609855651855,0.6942720413208008,35429,1.4095773696899414,0.13857555389404297,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj02\ROI-MT
2,PH,609,STRICT2,8.809518867240978,,11579,4.613790273666382,0.5677337646484375,15001,1.4534778594970703,0.10423660278320312,D:\Emily\NSD_cogsci_sandbox\COGS401\COSYNE\RDMs_Final\PH_VR_ripser_STRICT2\subj02\ROI-PH
