subject,roi,eps_quantile,eps_value,edges,density,avg_degree,n_components,largest_component
3,V3,0.4,-0.11148583889007568,74055,0.4000032408607726,243.20197044334975,1,609
3,V3,0.5,0.04923081398010254,92568,0.5,304.0,1,609
3,V4,0.01,-3.2497569978237153,1852,0.010003456918157462,6.082101806239737,232,378
3,V4,0.02,-2.6361465096473693,3703,0.02000151240169389,12.160919540229886,106,504
3,V4,0.05,-1.8320128619670868,9257,0.05000108028692421,30.400656814449917,15,595
3,V4,0.1,-1.2517807483673096,18514,0.10000216057384842,60.801313628899834,3,607
3,V4,0.15,-0.9221028089523315,27771,0.15000324086077263,91.20197044334975,1,609
3,V4,0.2,-0.6953883171081543,37028,0.20000432114769684,121.60262725779967,1,609
3,V4,0.3,-0.38181352615356445,55541,0.3000010802869242,182.40065681444992,1,609
3,V4,0.4,-0.1504378318786621,74055,0.4000032408607726,243.20197044334975,1,609
3,V4,0.5,0.049185991287231445,92568,0.5,304.0,1,609
4,LO2,0.01,-4.014843443036079,1852,0.010003456918157462,6.082101806239737,133,477
4,LO2,0.02,-3.1821955647319555,3703,0.02000151240169389,12.160919540229886,22,588
4,LO2,0.05,-2.138854871605872,9257,0.05000108028692421,30.400656814449917,2,608
4,LO2,0.1,-1.423937737941742,18514,0.10000216057384842,60.801313628899834,1,609
4,LO2,0.15,-1.037939429283142,27771,0.15000324086077263,91.20197044334975,1,609
4,LO2,0.2,-0.784491240978241,37028,0.20000432114769684,121.60262725779967,1,609
4,LO2,0.3,-0.4492120146751404,55541,0.3000010802869242,182.40065681444992,1,609
4,LO2,0.4,-0.2105259895324707,74055,0.4000032408607726,243.20197044334975,1,609
4,LO2,0.5,-0.01011890172958374,92568,0.5,304.0,1,609
4,MT,0.01,-4.84430688470602,1852,0.010003456918157462,6.082101806239737,116,494
4,MT,0.02,-3.7981420839205384,3703,0.02000151240169389,12.160919540229886,10,600
4,MT,0.05,-2.518023343756795,9257,0.05000108028692421,30.400656814449917,2,608
4,MT,0.1,-1.6907968018203974,18514,0.10000216057384842,60.801313628899834,1,609
4,MT,0.15,-1.2326605319976807,27771,0.15000324086077263,91.20197044334975,1,609
4,MT,0.2,-0.9254066422581673,37028,0.20000432114769684,121.60262725779967,1,609
4,MT,0.3,-0.5277752564288676,55541,0.3000010802869242,182.40065681444992,1,609
4,MT,0.4,-0.26809438318014145,74055,0.4000032408607726,243.20197044334975,1,609
4,MT,0.5,-0.0628034733235836,92568,0.5,304.0,1,609
4,PH,0.01,-4.911122550629079,1852,0.010003456918157462,6.082101806239737,146,464
4,PH,0.02,-3.8335351884365076,3703,0.02000151240169389,12.160919540229886,12,598
4,PH,0.05,-2.521912418305874,9257,0.05000108028692421,30.400656814449917,1,609
4,PH,0.1,-1.6483926102519035,18514,0.10000216057384842,60.801313628899834,1,609
4,PH,0.15,-1.1893274579197168,27771,0.15000324086077263,91.20197044334975,1,609
4,PH,0.2,-0.8912517749704421,37028,0.20000432114769684,121.60262725779967,1,609
4,PH,0.3,-0.49433013051748276,55541,0.3000010802869242,182.40065681444992,1,609
4,PH,0.4,-0.2297312617301941,74055,0.4000032408607726,243.20197044334975,1,609
4,PH,0.5,-0.01383921504020691,92568,0.5,304.0,1,609
4,PIT,0.01,-2.9923858776688577,1852,0.010003456918157462,6.082101806239737,192,418
