subject,roi,cluster_id,hit_rate,birth,death,persistence,eps_used,step,node_index,nsdId
2,MT,0,0.81,0.843801736831665,2.329941511154175,1.4861397743225098,0.9181087255477905,3,122,60252
2,MT,0,0.81,0.843801736831665,2.329941511154175,1.4861397743225098,0.9181087255477905,4,118,59047
2,LO2,4,0.82,1.9479658603668213,3.0212790966033936,1.099263072013855,2.002929013967514,0,68,40549
2,LO2,4,0.82,1.9479658603668213,3.0212790966033936,1.099263072013855,2.002929013967514,1,66,39403
2,LO2,4,0.82,1.9479658603668213,3.0212790966033936,1.099263072013855,2.002929013967514,2,45,31838
2,LO2,4,0.82,1.9479658603668213,3.0212790966033936,1.099263072013855,2.002929013967514,3,143,70096
2,LO2,4,0.82,1.9479658603668213,3.0212790966033936,1.099263072013855,2.002929013967514,4,68,40549
3,V1,0,0.895,0.8265714049339294,1.9042500257492065,1.0562682747840881,0.8793848186731339,0,53,36624
3,V1,0,0.895,0.8265714049339294,1.9042500257492065,1.0562682747840881,0.8793848186731339,1,58,37060
3,V1,0,0.895,0.8265714049339294,1.9042500257492065,1.0562682747840881,0.8793848186731339,2,63,38818
3,V1,0,0.895,0.8265714049339294,1.9042500257492065,1.0562682747840881,0.8793848186731339,3,154,8808
3,V1,0,0.895,0.8265714049339294,1.9042500257492065,1.0562682747840881,0.8793848186731339,4,53,36624
3,V1,1,0.885,0.9828194975852966,1.9602420330047607,0.9700941443443298,1.031324204802513,0,17,19437
3,V1,1,0.885,0.9828194975852966,1.9602420330047607,0.9700941443443298,1.031324204802513,1,21,21109
3,V1,1,0.885,0.9828194975852966,1.9602420330047607,0.9700941443443298,1.031324204802513,2,62,38642
3,V1,1,0.885,0.9828194975852966,1.9602420330047607,0.9700941443443298,1.031324204802513,3,22,21280
3,V1,1,0.885,0.9828194975852966,1.9602420330047607,0.9700941443443298,1.031324204802513,4,17,19437
3,V1,2,0.85,0.9314317107200623,1.8556843996047974,0.9275365471839905,0.9778085380792618,0,63,38818
3,V1,2,0.85,0.9314317107200623,1.8556843996047974,0.9275365471839905,0.9778085380792618,1,21,21109
3,V1,2,0.85,0.9314317107200623,1.8556843996047974,0.9275365471839905,0.9778085380792618,2,17,19437
3,V1,2,0.85,0.9314317107200623,1.8556843996047974,0.9275365471839905,0.9778085380792618,3,126,62007
3,V1,2,0.85,0.9314317107200623,1.8556843996047974,0.9275365471839905,0.9778085380792618,4,63,38818
3,V2,4,0.885,0.9098846912384033,1.629546046257019,0.708016037940979,0.9452854931354523,0,17,19437
3,V2,4,0.885,0.9098846912384033,1.629546046257019,0.708016037940979,0.9452854931354523,1,20,20821
3,V2,4,0.885,0.9098846912384033,1.629546046257019,0.708016037940979,0.9452854931354523,2,34,28756
3,V2,4,0.885,0.9098846912384033,1.629546046257019,0.708016037940979,0.9452854931354523,3,109,55006
3,V2,4,0.885,0.9098846912384033,1.629546046257019,0.708016037940979,0.9452854931354523,4,17,19437
3,V2,5,0.825,1.0262726545333862,1.7021933794021606,0.6810315847396851,1.0603242337703704,0,2,11618
3,V2,5,0.825,1.0262726545333862,1.7021933794021606,0.6810315847396851,1.0603242337703704,1,34,28756
3,V2,5,0.825,1.0262726545333862,1.7021933794021606,0.6810315847396851,1.0603242337703704,2,48,33544
3,V2,5,0.825,1.0262726545333862,1.7021933794021606,0.6810315847396851,1.0603242337703704,3,133,66217
3,V2,5,0.825,1.0262726545333862,1.7021933794021606,0.6810315847396851,1.0603242337703704,4,2,11618
3,V3,2,0.965,1.2224591970443726,2.421015501022339,1.1985563039779663,1.2823870122432708,0,120,59818
