subject,roi,cluster_id,hits,hit_rate,birth,death,persistence,robust,B,subsample_frac,persist_floor_frac,top_L,cluster_tol_frac,robust_hitrate_min,strict_tag,maxdist_full,shift_added
1,PH,3,36,0.18,2.7103758070203994,7.723100312550863,5.012724505530463,False,200,0.8,0.05,10,0.012,0.8,STRICT2,21.151387215660645,10.29743778805597
1,PH,8,26,0.13,3.412173945328285,8.270847912492423,4.858673967164139,False,200,0.8,0.05,10,0.012,0.8,STRICT2,21.151387215660645,10.29743778805597
1,PH,9,11,0.055,3.0512902953407983,7.871044332330877,4.819754036990079,False,200,0.8,0.05,10,0.012,0.8,STRICT2,21.151387215660645,10.29743778805597
1,PH,10,4,0.02,3.8305893540382385,8.305522441864014,4.474933087825775,False,200,0.8,0.05,10,0.012,0.8,STRICT2,21.151387215660645,10.29743778805597
1,PH,13,2,0.01,3.8718910217285156,8.503854433695475,4.63196341196696,False,200,0.8,0.05,10,0.012,0.8,STRICT2,21.151387215660645,10.29743778805597
1,PH,15,1,0.005,2.346747636795044,8.348814010620117,6.002066373825073,False,200,0.8,0.05,10,0.012,0.8,STRICT2,21.151387215660645,10.29743778805597
1,PH,16,1,0.005,2.244790554046631,7.012911319732666,4.768120765686035,False,200,0.8,0.05,10,0.012,0.8,STRICT2,21.151387215660645,10.29743778805597
1,PH,14,1,0.005,3.009671926498413,7.511173248291016,4.5015013217926025,False,200,0.8,0.05,10,0.012,0.8,STRICT2,21.151387215660645,10.29743778805597
1,PH,12,1,0.005,3.645050048828125,7.8837504386901855,4.2387003898620605,False,200,0.8,0.05,10,0.012,0.8,STRICT2,21.151387215660645,10.29743778805597
1,PH,11,1,0.005,4.257719357808431,8.495846112569174,4.238126754760742,False,200,0.8,0.05,10,0.012,0.8,STRICT2,21.151387215660645,10.29743778805597
1,STSva,3,189,0.945,1.4498237606784075,3.4339964746109235,1.984172713932516,True,200,0.8,0.05,10,0.012,0.8,STRICT2,10.600733430193497,4.448569179581238
1,STSva,2,188,0.94,1.2604655527727402,3.344260002736636,2.0837944499638956,True,200,0.8,0.05,10,0.012,0.8,STRICT2,10.600733430193497,4.448569179581238
1,STSva,1,140,0.7,0.9551026506964209,3.136085106821483,2.180982456125062,False,200,0.8,0.05,10,0.012,0.8,STRICT2,10.600733430193497,4.448569179581238
1,STSva,0,139,0.695,0.9315174988724969,3.3816926631060515,2.4501751642335545,False,200,0.8,0.05,10,0.012,0.8,STRICT2,10.600733430193497,4.448569179581238
1,STSva,4,45,0.225,1.616967471022355,3.4357161270944694,1.8187486560721147,False,200,0.8,0.05,10,0.012,0.8,STRICT2,10.600733430193497,4.448569179581238
1,STSva,5,42,0.21,1.4645054193643423,3.2682127952575684,1.803707375893226,False,200,0.8,0.05,10,0.012,0.8,STRICT2,10.600733430193497,4.448569179581238
1,STSva,7,20,0.1,1.777471806551959,3.4889672897957467,1.7114954832437876,False,200,0.8,0.05,10,0.012,0.8,STRICT2,10.600733430193497,4.448569179581238
1,STSva,6,14,0.07,1.336148478090763,3.1028242111206055,1.7666757330298424,False,200,0.8,0.05,10,0.012,0.8,STRICT2,10.600733430193497,4.448569179581238
1,STSva,9,4,0.02,1.6169118881225586,3.2773748874664306,1.660462999343872,False,200,0.8,0.05,10,0.012,0.8,STRICT2,10.600733430193497,4.448569179581238
1,STSva,8,1,0.005,1.24431312084198,3.5374152660369873,2.2931021451950073,False,200,0.8,0.05,10,0.012,0.8,STRICT2,10.600733430193497,4.448569179581238
1,STSva,10,1,0.005,1.507967233657837,3.582777976989746,2.074810743331909,False,200,0.8,0.05,10,0.012,0.8,STRICT2,10.600733430193497,4.448569179581238
1,STSva,11,1,0.005,1.8017821311950684,3.6560280323028564,1.854245901107788,False,200,0.8,0.05,10,0.012,0.8,STRICT2,10.600733430193497,4.448569179581238
