subject,roi,k,edges,density,avg_degree,n_components,largest_component
1,V4,2,308,0.025151069737056997,3.9235668789808917,1,157
1,V4,5,744,0.06075453209211171,9.477707006369426,1,157
1,V4,10,1396,0.11399640699003756,17.78343949044586,1,157
1,V4,20,2535,0.2070063694267516,32.29299363057325,1,157
1,V4,40,4402,0.35946431487832764,56.07643312101911,1,157
2,LO2,2,305,0.024906091785072675,3.8853503184713376,1,157
2,LO2,5,736,0.06010125755348685,9.375796178343949,1,157
2,LO2,10,1384,0.11301649518210027,17.630573248407643,1,157
2,LO2,20,2529,0.20651641352278294,32.21656050955414,1,157
2,LO2,40,4448,0.36322064347542055,56.66242038216561,1,157
2,MT,2,308,0.025151069737056997,3.9235668789808917,1,157
2,MT,5,751,0.06132614731340846,9.566878980891719,1,157
2,MT,10,1433,0.11701780173117753,18.254777070063696,1,157
2,MT,20,2614,0.21345745549567205,33.29936305732484,1,157
2,MT,40,4524,0.36942675159235666,57.63057324840764,1,157
2,PH,2,310,0.025314388371713212,3.949044585987261,1,157
2,PH,5,753,0.061489465948064675,9.59235668789809,1,157
2,PH,10,1439,0.11750775763514618,18.331210191082803,1,157
2,PH,20,2607,0.2128858402743753,33.210191082802545,1,157
2,PH,40,4507,0.36803854319777884,57.4140127388535,1,157
2,PIT,2,306,0.024987751102400785,3.8980891719745223,1,157
2,PIT,5,721,0.05887636779356525,9.184713375796179,1,157
2,PIT,10,1346,0.1099134411236322,17.146496815286625,1,157
2,PIT,20,2461,0.20096357994447167,31.35031847133758,1,157
2,PIT,40,4347,0.3549730524252817,55.37579617834395,1,157
2,STSva,2,309,0.025232729054385106,3.9363057324840764,1,157
2,STSva,5,733,0.059856279601502534,9.337579617834395,1,157
2,STSva,10,1382,0.11285317654744406,17.605095541401273,1,157
2,STSva,20,2564,0.2093744896292667,32.66242038216561,1,157
2,STSva,40,4569,0.3731014208721215,58.203821656050955,1,157
2,V1,2,294,0.0240078392944635,3.745222929936306,1,157
2,V1,5,715,0.058386411889596604,9.10828025477707,1,157
2,V1,10,1341,0.10950514453699167,17.0828025477707,1,157
2,V1,20,2479,0.20243344765637758,31.579617834394906,1,157
2,V1,40,4418,0.36077086395557734,56.28025477707006,1,157
2,V2,2,293,0.023926179977135392,3.732484076433121,1,157
2,V2,5,697,0.056916544177690674,8.878980891719745,1,157
2,V2,10,1311,0.10705536501714846,16.70063694267516,1,157
2,V2,20,2403,0.19622733953944144,30.611464968152866,1,157
2,V2,40,4425,0.36134247917687407,56.36942675159236,1,157
2,V3,2,296,0.024171157929119714,3.770700636942675,1,157
2,V3,5,692,0.05650824759105014,8.815286624203821,1,157
2,V3,10,1303,0.1064020904785236,16.598726114649683,1,157
2,V3,20,2395,0.1955740650008166,30.50955414012739,1,157
2,V3,40,4345,0.3548097337906255,55.35031847133758,1,157
2,V4,2,301,0.024579454515760248,3.8343949044585988,1,157
2,V4,5,729,0.0595296423321901,9.286624203821656,1,157
2,V4,10,1366,0.11154662747019435,17.401273885350317,1,157
2,V4,20,2463,0.20112689857912788,31.37579617834395,1,157
2,V4,40,4371,0.3569328760411563,55.681528662420384,1,157
3,LO2,2,307,0.02506941041972889,3.910828025477707,1,157
3,LO2,5,744,0.06075453209211171,9.477707006369426,1,157
3,LO2,10,1409,0.11505797811530295,17.94904458598726,1,157
3,LO2,20,2554,0.20855789645598563,32.53503184713376,1,157
3,LO2,40,4393,0.35872938102237467,55.961783439490446,1,157
3,MT,2,304,0.02482443246774457,3.872611464968153,1,157
3,MT,5,740,0.06042789482279928,9.426751592356688,1,157
3,MT,10,1414,0.1154662747019435,18.012738853503183,1,157
3,MT,20,2546,0.20790462191736078,32.43312101910828,1,157
3,MT,40,4371,0.3569328760411563,55.681528662420384,1,157
3,PH,2,310,0.025314388371713212,3.949044585987261,1,157
3,PH,5,750,0.06124448799608035,9.554140127388536,1,157
3,PH,10,1427,0.11652784582720889,18.178343949044585,1,157
3,PH,20,2589,0.21141597256246938,32.98089171974522,1,157
3,PH,40,4513,0.3685284991017475,57.49044585987261,1,157
3,PIT,2,307,0.02506941041972889,3.910828025477707,1,157
3,PIT,5,745,0.06083619140943982,9.490445859872612,1,157
3,PIT,10,1422,0.11611954924056835,18.11464968152866,1,157
3,PIT,20,2594,0.2118242691491099,33.044585987261144,1,157
3,PIT,40,4372,0.35701453535848443,55.69426751592356,1,157
3,STSva,2,309,0.025232729054385106,3.9363057324840764,1,157
3,STSva,5,747,0.06099951004409603,9.51592356687898,1,157
3,STSva,10,1408,0.11497631879797485,17.936305732484076,1,157
3,STSva,20,2575,0.21027274211987587,32.802547770700635,1,157
3,STSva,40,4491,0.36673199412052915,57.210191082802545,1,157
3,V1,2,302,0.024661113833088357,3.8471337579617835,1,157
3,V1,5,735,0.060019598236158746,9.363057324840764,1,157
3,V1,10,1398,0.11415972562469377,17.808917197452228,1,157
3,V1,20,2531,0.20667973215743915,32.24203821656051,1,157
3,V1,40,4376,0.35734117262779685,55.745222929936304,1,157
3,V2,2,302,0.024661113833088357,3.8471337579617835,1,157
3,V2,5,728,0.059447983014861996,9.273885350318471,1,157
3,V2,10,1383,0.11293483586477217,17.61783439490446,1,157
3,V2,20,2525,0.2061897762534705,32.1656050955414,1,157
3,V2,40,4436,0.3622407316674833,56.50955414012739,1,157
3,V3,2,306,0.024987751102400785,3.8980891719745223,1,157
3,V3,5,737,0.06018291687081496,9.388535031847134,1,157
3,V3,10,1390,0.11350645108606892,17.70700636942675,1,157
3,V3,20,2538,0.2072513473787359,32.3312101910828,1,157
3,V3,40,4385,0.3580761064837498,55.859872611464965,1,157
3,V4,2,302,0.024661113833088357,3.8471337579617835,1,157
3,V4,5,739,0.06034623550547118,9.414012738853502,1,157
3,V4,10,1401,0.1144047035766781,17.84713375796178,1,157
3,V4,20,2522,0.2059447983014862,32.12738853503185,1,157
3,V4,40,4340,0.354401437203985,55.28662420382165,1,157
4,LO2,2,308,0.025151069737056997,3.9235668789808917,1,157
4,LO2,5,738,0.060264576188143064,9.401273885350319,1,157
4,LO2,10,1400,0.11432304425935,17.8343949044586,1,157
4,LO2,20,2544,0.20774130328270457,32.40764331210191,1,157
4,LO2,40,4427,0.3615057978115303,56.394904458598724,1,157
4,MT,2,308,0.025151069737056997,3.9235668789808917,1,157
4,MT,5,745,0.06083619140943982,9.490445859872612,1,157
4,MT,10,1430,0.11677282377919321,18.21656050955414,1,157
4,MT,20,2632,0.21492732320757799,33.52866242038217,1,157
4,MT,40,4418,0.36077086395557734,56.28025477707006,1,157
